RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           11     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.931D+01  7.775D+02
    1    4     1     0  ---    2  1.9D-04  8.6D-03  6.096D+00  7.773D+02
    2    7     0     0  con    2  2.1D+01  4.4D-02  1.446D+01  7.769D+02
    3    8     0     0  con    0  1.0D+00  1.3D-01  2.008D+01  7.762D+02
    4    9     0     0  con    0  1.0D+00  2.2D-01  3.713D+01  7.760D+02
    5   10     0     0  con    0  1.0D+00  3.5D-02  1.227D+01  7.754D+02
    6   11     0     0  con    0  1.0D+00  1.7D-02  5.273D+00  7.753D+02
    7   12     0     0  con    0  1.0D+00  3.1D-02  4.630D+00  7.752D+02
    8   13     0     0  con    0  1.0D+00  2.7D-02  5.284D+00  7.752D+02
    9   14     0     0  con    0  1.0D+00  2.2D-02  3.774D+00  7.752D+02
   10   15     0     0  con    0  1.0D+00  1.4D-02  9.657D-01  7.751D+02
   11   16     0     0  con    0  1.0D+00  7.4D-03  1.585D+00  7.751D+02
   12   17     0     0  con    0  1.0D+00  8.8D-03  3.041D+00  7.751D+02
   13   18     0     0  con    0  1.0D+00  1.7D-02  4.663D+00  7.751D+02
   14   19     0     0  con    0  1.0D+00  3.0D-02  4.801D+00  7.751D+02
   15   21     0     0  con    1  1.4D-01  8.4D-03  5.010D+00  7.751D+02
   16   22     0     0  con    0  1.0D+00  2.5D-02  1.907D+00  7.751D+02
   17   23     0     0  con    0  1.0D+00  8.1D-03  7.889D-01  7.751D+02
   18   24     0     0  con    0  1.0D+00  4.5D-03  1.945D+00  7.751D+02
   19   25     0     0  con    0  1.0D+00  6.7D-03  2.824D+00  7.751D+02
   20   26     0     0  con    0  1.0D+00  1.8D-02  3.669D+00  7.751D+02
   21   27     0     0  con    0  1.0D+00  4.0D-02  4.189D+00  7.750D+02
   22   29     0     0  con    1  1.6D-01  2.9D-02  2.542D+00  7.750D+02
   23   30     0     0  con    0  1.0D+00  4.3D-02  1.321D+00  7.750D+02
   24   31     0     0  con    0  1.0D+00  8.5D-02  2.609D+00  7.750D+02
   25   32     0     0  con    0  1.0D+00  3.5D-02  3.231D+00  7.750D+02
   26   33     0     0  con    0  1.0D+00  6.0D-02  2.805D+00  7.749D+02
   27   35     0     0  con    1  3.4D-01  5.1D-02  1.112D+00  7.749D+02
   28   36     0     0  con    0  1.0D+00  1.4D-01  3.451D+00  7.749D+02
   29   37     0     0  con    0  1.0D+00  1.0D-01  2.507D+00  7.748D+02
   30   39     0     0  con    1  3.1D-01  9.1D-02  4.945D+00  7.748D+02
   31   40     0     0  con    0  1.0D+00  1.0D-01  3.841D+00  7.748D+02
   32   42     0     0  con    1  3.5D-01  2.4D-02  1.079D+00  7.748D+02
   33   43     0     0  con    0  1.0D+00  1.1D-02  1.029D+00  7.748D+02
   34   44     0     0  con    0  1.0D+00  1.2D-02  8.982D-01  7.748D+02
   35   45     0     0  con    0  1.0D+00  7.3D-02  2.895D+00  7.747D+02
   36   46     0     0  con    0  1.0D+00  3.8D-02  1.982D+00  7.747D+02
   37   48     0     0  con    1  4.8D-01  4.6D-02  1.898D+00  7.747D+02
   38   49     0     0  con    0  1.0D+00  5.6D-02  4.977D-01  7.747D+02
   39   50     0     0  con    0  1.0D+00  1.9D-02  3.365D-01  7.747D+02
   40   51     0     0  con    0  1.0D+00  1.7D-02  4.843D-01  7.747D+02
   41   52     0     0  con    0  1.0D+00  3.4D-02  2.878D-01  7.747D+02
   42   53     0     0  con    0  1.0D+00  2.0D-02  1.069D+00  7.747D+02
   43   54     0     0  con    0  1.0D+00  4.9D-02  2.170D-01  7.747D+02
   44   55     0     0  con    0  1.0D+00  7.6D-02  3.725D+00  7.747D+02
   45   56     0     0  con    0  1.0D+00  6.1D-02  3.176D+00  7.747D+02
   46   57     0     0  con    0  1.0D+00  2.0D-02  6.884D-01  7.747D+02
   47   58     0     0  con    0  1.0D+00  6.2D-03  4.394D-01  7.747D+02
   48   59     0     0  con    0  1.0D+00  8.7D-03  1.579D-01  7.747D+02
   49   60     0     0  con    0  1.0D+00  1.3D-02  2.187D-01  7.747D+02
   50   62     0     0  con    1  7.2D-02  2.2D-03  2.905D-01  7.747D+02
   51   63     0     0  con    0  1.0D+00  5.3D-03  2.961D-01  7.747D+02
